Trade ID,Action,Timestamp,Price,Quantity,Entry Price,Exit Price,Entry Time,Exit Time,Holding Period (min),Gross P&L,Gross P&L %,Fees,Net P&L,Net P&L %,Status
1,BUY,2025-11-09 18:28:00,2500.18,10,2500.18,,2025-11-09 18:28:00,,,,,,,,OPEN
1,SELL,2025-11-09 18:29:00,2499.84,10,2500.18,2499.84,2025-11-09 18:28:03,2025-11-09 18:29:00,0.05,-3.4,-0.01,25.0,-28.4,-0.11,LOSS
2,BUY,2025-11-09 18:31:00,2499.75,10,2499.75,,2025-11-09 18:31:00,,,,,,,,OPEN
2,SELL,2025-11-09 18:33:00,2499.91,10,2499.75,2499.91,2025-11-09 18:28:12,2025-11-09 18:33:00,0.1,1.6,0.01,25.0,-23.4,-0.09,LOSS
3,BUY,2025-11-09 18:39:00,2500.35,10,2500.35,,2025-11-09 18:39:00,,,,,,,,OPEN
3,SELL,2025-11-09 18:41:00,2500.27,10,2500.35,2500.27,2025-11-09 18:28:36,2025-11-09 18:41:00,0.1,-0.8,-0.0,25.0,-25.8,-0.1,LOSS
4,BUY,2025-11-09 18:43:00,2501.87,10,2501.87,,2025-11-09 18:43:00,,,,,,,,OPEN
4,SELL,2025-11-09 18:51:00,2500.14,10,2501.87,2500.14,2025-11-09 18:28:48,2025-11-09 18:51:00,0.42,-17.3,-0.07,25.01,-42.31,-0.17,LOSS
5,BUY,2025-11-09 18:57:00,2499.78,10,2499.78,,2025-11-09 18:57:00,,,,,,,,OPEN
5,SELL,2025-11-09 18:58:00,2500.31,10,2499.78,2500.31,2025-11-09 18:29:31,2025-11-09 18:58:00,0.05,5.3,0.02,25.0,-19.7,-0.08,LOSS
6,BUY,2025-11-09 19:01:00,2498.46,10,2498.46,,2025-11-09 19:01:00,,,,,,,,OPEN
6,SELL,2025-11-09 19:06:00,2497.24,10,2498.46,2497.24,2025-11-09 18:29:43,2025-11-09 19:06:00,0.25,-12.2,-0.05,24.98,-37.18,-0.15,LOSS
7,BUY,2025-11-09 19:11:00,2496.0,10,2496.0,,2025-11-09 19:11:00,,,,,,,,OPEN
7,SELL,2025-11-09 19:16:00,2495.51,10,2496.0,2495.51,2025-11-09 18:30:13,2025-11-09 19:16:00,0.25,-4.9,-0.02,24.96,-29.86,-0.12,LOSS
8,BUY,2025-11-09 19:17:00,2495.82,10,2495.82,,2025-11-09 19:17:00,,,,,,,,OPEN
8,SELL,2025-11-09 19:18:00,2495.45,10,2495.82,2495.45,2025-11-09 18:30:31,2025-11-09 19:18:00,0.05,-3.7,-0.01,24.96,-28.66,-0.11,LOSS
9,BUY,2025-11-09 19:19:00,2494.56,10,2494.56,,2025-11-09 19:19:00,,,,,,,,OPEN
9,SELL,2025-11-09 19:24:00,2491.71,10,2494.56,2491.71,2025-11-09 18:30:37,2025-11-09 19:24:00,0.25,-28.5,-0.11,24.93,-53.43,-0.21,LOSS
10,BUY,2025-11-09 19:25:00,2492.32,10,2492.32,,2025-11-09 19:25:00,,,,,,,,OPEN
10,SELL,2025-11-09 19:26:00,2492.88,10,2492.32,2492.88,2025-11-09 18:30:55,2025-11-09 19:26:00,0.05,5.6,0.02,24.92,-19.32,-0.08,LOSS
11,BUY,2025-11-09 19:28:00,2494.06,10,2494.06,,2025-11-09 19:28:00,,,,,,,,OPEN
11,SELL,2025-11-09 19:29:00,2492.9,10,2494.06,2492.9,2025-11-09 18:31:04,2025-11-09 19:29:00,0.05,-11.6,-0.05,24.93,-36.53,-0.15,LOSS
12,BUY,2025-11-09 19:31:00,2492.69,10,2492.69,,2025-11-09 19:31:00,,,,,,,,OPEN
12,SELL,2025-11-09 19:35:00,2493.79,10,2492.69,2493.79,2025-11-09 18:31:13,2025-11-09 19:35:00,0.2,11.0,0.04,24.93,-13.93,-0.06,LOSS
13,BUY,2025-11-09 19:36:00,2493.91,10,2493.91,,2025-11-09 19:36:00,,,,,,,,OPEN
13,SELL,2025-11-09 19:39:00,2494.34,10,2493.91,2494.34,2025-11-09 18:31:28,2025-11-09 19:39:00,0.15,4.3,0.02,24.94,-20.64,-0.08,LOSS
14,BUY,2025-11-09 19:41:00,2494.11,10,2494.11,,2025-11-09 19:41:00,,,,,,,,OPEN
